t=2026-02-15T21:35:52+0530 lvl=info msg="no configuration paths supplied"
t=2026-02-15T21:35:52+0530 lvl=info msg="using configuration at default config path" path=/home/siddhartha/.config/ngrok/ngrok.yml
t=2026-02-15T21:35:52+0530 lvl=info msg="open config file" path=/home/siddhartha/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T21:35:52+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-15T21:35:52+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T21:35:53+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T21:35:53+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T21:40:07+0530 lvl=info msg="join connections" obj=join id=3fe61309bcdf l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:07+0530 lvl=info msg="join connections" obj=join id=7578fe94074a l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:09+0530 lvl=info msg="join connections" obj=join id=ba2f2afd1644 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:09+0530 lvl=info msg="join connections" obj=join id=2a6cd7080e53 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:14+0530 lvl=info msg="join connections" obj=join id=a6fc8688ced1 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:14+0530 lvl=info msg="join connections" obj=join id=91f6679c71c5 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:14+0530 lvl=info msg="join connections" obj=join id=a6a5f2b4b3e0 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:14+0530 lvl=info msg="join connections" obj=join id=6915333b4204 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:15+0530 lvl=info msg="join connections" obj=join id=bfffafc8bcd5 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:15+0530 lvl=info msg="join connections" obj=join id=b64def53483b l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:21+0530 lvl=info msg="join connections" obj=join id=604caea5a45c l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:21+0530 lvl=info msg="join connections" obj=join id=759eb0d3a4f2 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:24+0530 lvl=info msg="join connections" obj=join id=eb747183f568 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:24+0530 lvl=info msg="join connections" obj=join id=52197cbf6929 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:24+0530 lvl=info msg="join connections" obj=join id=d03420df6ce1 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:24+0530 lvl=info msg="join connections" obj=join id=a65f8f22f26c l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:24+0530 lvl=info msg="join connections" obj=join id=f08adfffccb4 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:24+0530 lvl=info msg="join connections" obj=join id=ca44712719d1 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:25+0530 lvl=info msg="join connections" obj=join id=c2f650d9090c l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:25+0530 lvl=info msg="join connections" obj=join id=22e52404da5d l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:25+0530 lvl=info msg="join connections" obj=join id=97bdcca85d86 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:25+0530 lvl=info msg="join connections" obj=join id=17b709bfc237 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
